tag,dominio,responses,patterns
sintomas_zika,zika,"Os sintomas mais comuns do Zika são: febre baixa, erupções cutâneas, conjuntivite não purulenta, dores musculares e articulares, dor de cabeça e mal-estar geral. Eles geralmente surgem entre 2 a 7 dias após a picada do mosquito infectado.","['Quais são os sintomas do Zika?', 'Como sei se estou com Zika?', 'Sintomas do vírus Zika']"
transmissao_zika,zika,"O vírus Zika é transmitido principalmente pela picada do mosquito *Aedes aegypti*. Também pode ser transmitido por via sexual, de mãe para o feto durante a gravidez e por transfusão de sangue. Não há evidências de transmissão por contato direto entre pessoas.","['Como o Zika é transmitido?', 'Formas de transmissão do vírus Zika', 'Quais são os meios de transmissão do Zika?']"
gestantes,zika,A infecção por zika durante a gestação pode causar microcefalia e outras malformações congênitas no bebê. Gestantes devem redobrar os cuidados para evitar a picada do mosquito.,"['Zika é perigoso para gestantes?', 'Quais os riscos da zika na gravidez?', 'Gestante pode ter complicações com arboviroses?']"
periodo_incubacao,zika,O período de incubação do vírus Zika varia de 2 a 7 dias após a exposição. A viremia geralmente ocorre do início dos sintomas até o 5º dia da doença.,"['Qual é o período de incubação do Zika?', 'Quanto tempo o Zika leva para manifestar sintomas?', 'Depois da picada, quanto tempo até os sintomas do Zika aparecerem?']"
diagnostico_zika,zika,O diagnóstico é baseado nos sintomas clínicos e histórico do paciente. Exames laboratoriais como RT-PCR e testes sorológicos podem confirmar a infecção. O RT-PCR é mais eficaz nos primeiros 3 a 5 dias após o início dos sintomas.,"['Como é feito o diagnóstico do Zika?', 'Como saber se estou com Zika?', 'Existe exame para Zika?']"
tratamento_zika,zika,"Não há tratamento antiviral específico para o Zika. O tratamento é sintomático, com repouso, hidratação e uso de analgésicos como paracetamol ou dipirona. Evite anti-inflamatórios não esteroides devido ao risco de complicações.","['Existe tratamento para Zika?', 'Como tratar o Zika?', 'Medicamento para vírus Zika']"
zika_na_gestacao,zika,"A infecção pelo Zika durante a gravidez pode causar a Síndrome Congênita do Zika, que inclui microcefalia e outras alterações neurológicas no feto. O risco é maior no primeiro trimestre.","['Quais os riscos do Zika na gravidez?', 'O que acontece se grávida pegar Zika?', 'Zika na gestação é perigoso?', 'Há preoblemas com Zika na gravidez?']"
prevencao_zika,zika,"Para prevenir a infecção por Zika: elimine criadouros do mosquito *Aedes aegypti*, use repelentes aprovados pela Anvisa, instale telas em portas e janelas e use preservativos para evitar a transmissão sexual. Gestantes devem redobrar os cuidados.","['Como prevenir o Zika?', 'O que fazer para evitar o Zika?', 'Dicas para prevenir infecção por Zika']"
vacina_zika,zika,"Atualmente, não há vacina aprovada para uso público contra o Zika. Pesquisas estão em andamento para o desenvolvimento de uma vacina eficaz.","['Existe vacina contra o Zika?', 'Tem vacina para o vírus Zika?', 'Já criaram vacina para Zika?']"
guillain_barre,zika,"A infecção pelo Zika pode desencadear a Síndrome de Guillain-Barré, uma condição neurológica rara que causa fraqueza muscular e paralisia. Essa relação foi observada durante surtos do vírus e ainda está sendo estudada.","['Qual é a relação entre Zika e Síndrome de Guillain-Barré?', 'Zika pode causar Guillain-Barré?', 'O que é a síndrome de Guillain-Barré relacionada ao Zika?']"
o_que_e_dengue,dengue,"A dengue é uma doença infecciosa viral causada por quatro sorotipos do vírus DENV (1 a 4), transmitida pela picada da fêmea do mosquito Aedes aegypti. É considerada uma arbovirose e representa um grande problema de saúde pública no Brasil e em outros países tropicais.","['O que é dengue?', 'Explique o que é a dengue', 'Qual a definição de dengue?']"
sintomas_dengue,dengue,"Os sintomas mais comuns da dengue incluem: febre alta, dor de cabeça, dor atrás dos olhos, dores musculares e nas articulações, náuseas e vômitos, manchas vermelhas na pele e cansaço extremo. Em casos graves, podem ocorrer sangramentos e queda de pressão arterial.","['Quais são os sintomas da dengue?', 'Como saber se estou com dengue?', 'Sintomas de dengue']"
transmissao_dengue,dengue,A transmissão da dengue ocorre pela picada da fêmea do mosquito Aedes aegypti infectada com o vírus. A dengue não é transmitida de pessoa para pessoa.,"['Como ocorre a transmissão da dengue?', 'Como se pega dengue?', 'Dengue passa de pessoa para pessoa?']"
periodo_incubacao_dengue,dengue,"O período de incubação do vírus da dengue varia de 3 a 15 dias após a picada do mosquito infectado, sendo mais comum entre 4 e 7 dias.","['Qual é o período de incubação da dengue?', 'Quanto tempo leva para aparecer os sintomas da dengue?', 'Incubação do vírus da dengue']"
tratamento_dengue,dengue,"Não há tratamento antiviral específico para a dengue. O tratamento é sintomático, com repouso, hidratação e uso de analgésicos como paracetamol. Medicamentos como ácido acetilsalicílico (aspirina) e anti-inflamatórios não esteroides devem ser evitados devido ao risco de sangramentos.","['Existe tratamento para dengue?', 'Como tratar a dengue?', 'Qual o remédio para dengue?']"
sinais_alerta_dengue,dengue,"Os sinais de alerta para formas graves da dengue incluem: dor abdominal intensa, vômitos persistentes, sangramentos (nas gengivas, nariz, urina ou fezes), tontura ou desmaios e dificuldade para respirar. Ao apresentar esses sintomas, é fundamental procurar atendimento médico imediato.","['Quais são os sinais de alerta para dengue grave?', 'Como saber se a dengue está grave?', 'Sinais de dengue grave']"
grupos_risco_dengue,dengue,"Pessoas com maior risco de desenvolver formas graves da dengue incluem: crianças menores de 2 anos, idosos, gestantes e pessoas com doenças crônicas, como diabetes e hipertensão. Nesses grupos, a dengue pode evoluir para formas mais graves com maior frequência.","['Quem está mais suscetível à dengue grave?', 'Quais grupos têm mais risco com dengue?', 'Dengue grave em quem é mais comum?']"
prevencao_dengue,dengue,"As principais medidas de prevenção da dengue são: eliminar criadouros do mosquito evitando água parada, manter caixas d'água bem fechadas, limpar calhas e ralos regularmente, além de usar repelentes e telas em portas e janelas. A prevenção é a forma mais eficaz de combater a dengue.","['Como prevenir a dengue?', 'O que fazer para evitar dengue?', 'Dicas de prevenção contra dengue']"
vacina_dengue,dengue,"Existe uma vacina aprovada para uso no Brasil. No entanto, sua aplicação é recomendada para pessoas que já tiveram dengue anteriormente, com intervalo de seis meses após a infecção.","['Existe vacina contra a dengue?', 'Tem vacina para dengue?', 'Quem pode tomar vacina da dengue?']"
